model;year;mileage;engine_type;price;gearbox;brand
Citroën C4;2023;10 369 km;Essence;23 157 €;Automatique;PureTech 130 S&S EAT8 Feel Pack
DS 4;2023;2 504 km;Diesel;37 700 €;Automatique;BlueHDi 130 EAT8 Rivoli
Peugeot 5008;2023;2 386 km;Diesel;38 500 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 3008;2023;4 632 km;Hybride rechargeable;48 700 €;Automatique;Hybrid 225 e-EAT8 GT
Peugeot 308;2023;3 003 km;Essence;27 950 €;Manuelle;PureTech 130ch S&S BVM6 Allure Pack
Citroën C3;2023;4 384 km;Essence;20 811 €;Automatique;PureTech 110 S&S EAT6 Shine
Peugeot 3008;2023;4 661 km;Diesel;34 000 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 3008;2023;18 155 km;Diesel;36 800 €;Automatique;BlueHDi 130ch S&S EAT8 GT
DS 4;2023;1 124 km;Diesel;37 750 €;Automatique;BlueHDi 130 EAT8 Rivoli
Peugeot 3008;2023;5 601 km;Diesel;39 150 €;Automatique;BlueHDi 130ch S&S EAT8 GT
Peugeot 2008;2023;15 270 km;Essence;28 950 €;Automatique;PureTech 130 S&S EAT8 GT
Peugeot 3008;2023;4 618 km;Diesel;35 520 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 408;2023;6 172 km;Essence;39 110 €;Automatique;PureTech 130 ch S&S EAT8 GT
Peugeot 208;2023;1 803 km;Essence;22 400 €;Manuelle;PureTech 100 S&S BVM6 Allure Pack
Citroën C4;2023;13 872 km;Essence;26 762 €;Manuelle;PureTech 130 S&S BVM6 Shine
Citroën C3;2023;20 316 km;Essence;19 990 €;Automatique;PureTech 110 S&S EAT6 Shine
Citroën C3;2023;18 768 km;Essence;18 320 €;Manuelle;PureTech 110 S&S BVM6 C-Series
Citroën C3;2023;14 642 km;Essence;18 450 €;Manuelle;PureTech 110 S&S BVM6 C-Series
Peugeot 3008;2023;14 871 km;Essence;30 684 €;Manuelle;Puretech 130ch S&S BVM6 Allure Pack
Citroën C4;2023;21 933 km;Essence;24 990 €;Manuelle;PureTech 130 S&S BVM6 Shine
Citroën C3;2023;11 003 km;Essence;19 084 €;Manuelle;PureTech 110 S&S BVM6 shine
DS 3;2020;96 901 km;Essence;21 890 €;Automatique;Crossback PureTech 155 EAT8 Performance Line+
Citroën C3 Aircross;2023;16 799 km;Essence;19 800 €;Manuelle;PureTech 110 S&S BVM6 Feel Pack
Peugeot 5008;2020;88 180 km;Diesel;25 300 €;Automatique;BlueHDi 130ch S&S EAT8 Allure
Peugeot 3008;2023;949 km;Hybride rechargeable;54 650 €;Automatique;Hybrid 225 e-EAT8 GT
Peugeot 3008;2023;2 383 km;Diesel;35 282 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 2008;2023;1 259 km;Diesel;28 850 €;Automatique;BlueHDi 130 S&S EAT8 Allure
DS 4;2023;4 298 km;Diesel;37 450 €;Automatique;BlueHDi 130 EAT8 Rivoli
Peugeot 3008;2023;17 596 km;Diesel;37 841 €;Automatique;BlueHDi 130ch S&S EAT8 GT
Citroën C3;2023;16 852 km;Essence;18 162 €;Manuelle;PureTech 83 S&S BVM5 Shine
Citroën C5 Aircross;2023;1 911 km;Essence;33 104 €;Automatique;PureTech 130 S&S EAT8 Feel Pack
Citroën C4;2023;2 284 km;Essence;29 250 €;Automatique;PureTech 130 EAT8 Max
Peugeot 5008;2023;4 464 km;Diesel;38 100 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 5008;2023;4 163 km;Essence;39 050 €;Automatique;PureTech 130ch S&S EAT8 GT
Citroën C5 Aircross;2023;4 265 km;Essence;32 519 €;Automatique;PureTech 130 S&S EAT8 Feel Pack
Citroën C5 Aircross;2023;3 044 km;Essence;32 999 €;Automatique;PureTech 130 S&S EAT8 Feel Pack
Peugeot 3008;2023;1 460 km;Diesel;35 877 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 308;2023;2 038 km;Essence;27 900 €;Manuelle;PureTech 130ch S&S BVM6 Allure Pack
Peugeot 208;2023;9 097 km;Essence;21 450 €;Manuelle;PureTech 100 S&S BVM6 Allure Pack
Peugeot 208;2023;1 896 km;Essence;22 300 €;Manuelle;PureTech 100 S&S BVM6 Allure Pack
Peugeot 5008;2023;3 108 km;Diesel;38 250 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 3008;2023;5 779 km;Diesel;35 374 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 5008;2023;2 573 km;Diesel;45 750 €;Automatique;BlueHDi 130ch S&S EAT8 GT
Citroën C4;2023;783 km;Essence;29 019 €;Automatique;PureTech 130 EAT8 Max
Peugeot 208;2023;3 682 km;Essence;22 150 €;Manuelle;PureTech 100 S&S BVM6 Allure Pack
Citroën C3 Aircross;2023;1 475 km;Essence;25 450 €;Automatique;PureTech 130 S&S EAT6 Shine
Peugeot 3008;2023;1 896 km;Diesel;41 400 €;Automatique;BlueHDi 130ch S&S EAT8 GT
Peugeot 3008;2023;3 091 km;Diesel;34 890 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 208;2023;5 054 km;Essence;23 150 €;Automatique;PureTech 100 S&S EAT8 Allure Pack
Citroën C5 Aircross;2023;5 594 km;Hybride rechargeable;44 001 €;Automatique;Hybride rechargeable 225 e-EAT8 Shine
Peugeot 208;2023;18 219 km;Essence;22 752 €;Manuelle;PureTech 100 S&S BVM6 GT
Peugeot 508;2023;3 782 km;Hybride rechargeable;44 000 €;Automatique;Hybrid 225 e-EAT8 Allure
DS 7;2023;1 078 km;Hybride rechargeable;64 839 €;Automatique;CROSSBACK Hybride Rechargeable E-Tense 300 EAT8 4x4 Opera
Citroën C5 X;2023;3 866 km;Hybride rechargeable;49 316 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
Peugeot 408;2023;1 176 km;Essence;36 250 €;Automatique;PureTech 130 ch S&S EAT8 GT
Peugeot 2008;2023;5 km;Essence;23 250 €;Manuelle;PureTech 100 S&S BVM6 Active
Peugeot 308;2023;2 256 km;Essence;33 850 €;Automatique;SW PureTech 130ch S&S EAT8 GT
Citroën C3;2023;10 796 km;Essence;16 716 €;Manuelle;PureTech 83 S&S BVM5 C-Series
Peugeot 3008;2023;25 228 km;Diesel;32 390 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Citroën C4;2023;15 660 km;Essence;24 418 €;Manuelle;PureTech 130 S&S BVM6 Feel Pack
Peugeot 2008;2023;16 994 km;Essence;26 500 €;Automatique;PureTech 130 S&S EAT8 Allure
Peugeot 208;2023;15 151 km;Essence;17 993 €;Manuelle;PureTech 75 S&S BVM5 Active Pack
Peugeot 2008;2023;17 079 km;Essence;26 750 €;Automatique;PureTech 130 S&S EAT8 Allure
Citroën C3 Aircross;2022;21 115 km;Essence;22 750 €;Automatique;PureTech 130 S&S EAT6 Shine
Peugeot 208;2023;13 889 km;Essence;23 850 €;Automatique;PureTech 100 S&S EAT8 GT
Peugeot 2008;2023;15 567 km;Essence;26 590 €;Automatique;PureTech 130 S&S EAT8 Allure
Citroën C3;2023;21 622 km;Essence;19 751 €;Manuelle;PureTech 110 S&S BVM6 shine
Peugeot 3008;2022;16 462 km;Hybride rechargeable;44 981 €;Automatique;Hybrid4 300 e-EAT8 GT
Peugeot 3008;2023;24 888 km;Essence;30 109 €;Manuelle;Puretech 130ch S&S BVM6 Allure Pack
Citroën C3;2023;21 770 km;Diesel;18 954 €;Manuelle;BlueHDi 100 S&S BVM6 C-Series
Peugeot 208;2023;15 654 km;Essence;23 900 €;Automatique;PureTech 100 S&S EAT8 GT
Peugeot 208;2023;14 753 km;Essence;22 529 €;Automatique;PureTech 100 S&S EAT8 Allure Pack
Peugeot 2008;2021;11 853 km;Diesel;26 350 €;Automatique;BlueHDi 130 S&S EAT8 Roadtrip
Peugeot 208;2021;15 395 km;Essence;22 200 €;Automatique;PureTech 130 S&S EAT8 Allure Pack
Citroën C3;2023;25 375 km;Diesel;17 800 €;Manuelle;BlueHDi 100 S&S BVM6 C-Series
Citroën C3;2023;14 108 km;Essence;18 257 €;Manuelle;PureTech 83 S&S BVM5 Shine
Peugeot 5008;2023;1 725 km;Diesel;42 000 €;Automatique;BlueHDi 130ch S&S EAT8 GT
Citroën Berlingo;2023;14 km;Diesel;22 550 €;Manuelle;VAN M 650 BLUEHDI 100 S&S BVM6 CLUB
Peugeot 2008;2021;13 994 km;Essence;23 300 €;Manuelle;PureTech 130 S&S BVM6 Roadtrip
Fiat 500;2022;10 287 km;Essence;15 915 €;Manuelle;1.0 70 ch Hybride BSG S/S Dolcevita
Fiat 500;2022;7 991 km;Electrique;24 130 €;Automatique;e 118 ch Icone '2021'
Fiat 500;2022;10 995 km;Essence;15 864 €;Manuelle;1.0 70 ch Hybride BSG S/S Dolcevita
Citroën C5 Aircross;2022;18 301 km;Diesel;28 650 €;Manuelle;BlueHDi 130 S&S BVM6 Shine
Fiat 500;2022;21 807 km;Essence;16 717 €;Manuelle;C 1.0 70 ch Hybride BSG S/S Dolcevita
Peugeot 5008;2023;6 916 km;Essence;36 300 €;Automatique;PureTech 130ch S&S EAT8 Allure Pack
Peugeot 508;2023;2 940 km;Hybride rechargeable;51 500 €;Automatique;SW Hybrid 225 e-EAT8 Allure
Peugeot 208;2023;992 km;Essence;22 550 €;Manuelle;PureTech 100 S&S BVM6 Allure Pack
Fiat 500;2022;11 657 km;Essence;15 513 €;Manuelle;1.0 70 ch Hybride BSG S/S Dolcevita
Citroën C5 Aircross;2023;14 801 km;Diesel;31 700 €;Automatique;BlueHDi 130 S&S EAT8 SHINE
Peugeot 208;2023;836 km;Essence;22 500 €;Manuelle;PureTech 100 S&S BVM6 Allure Pack
Peugeot 5008;2023;1 790 km;Diesel;43 950 €;Automatique;BlueHDi 130ch S&S EAT8 GT
Peugeot 3008;2023;4 156 km;Diesel;40 100 €;Automatique;BlueHDi 130ch S&S EAT8 GT
Peugeot 3008;2023;9 297 km;Diesel;38 400 €;Automatique;BlueHDi 130ch S&S EAT8 GT
Peugeot 3008;2023;2 664 km;Diesel;35 709 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 408;2023;1 753 km;Hybride rechargeable;48 500 €;Automatique;PHEV 225 e-EAT8 GT
Peugeot 3008;2023;4 642 km;Diesel;37 900 €;Automatique;BlueHDi 130ch S&S EAT8 GT
Peugeot 5008;2023;3 397 km;Diesel;45 500 €;Automatique;BlueHDi 130ch S&S EAT8 GT
Peugeot 308;2023;5 895 km;Diesel;30 950 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 5008;2023;1 956 km;Diesel;41 350 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 3008;2023;3 948 km;Diesel;37 990 €;Automatique;BlueHDi 130ch S&S EAT8 GT
Peugeot 208;2023;2 746 km;Essence;24 100 €;Automatique;PureTech 100 S&S EAT8 Allure Pack
Peugeot 3008;2023;9 933 km;Diesel;36 990 €;Automatique;BlueHDi 130ch S&S EAT8 GT
Citroën C5 Aircross;2023;11 710 km;Hybride rechargeable;43 793 €;Automatique;Hybride rechargeable 225 e-EAT8 Shine
Citroën C3;2023;24 545 km;Essence;17 850 €;Manuelle;PureTech 110 S&S BVM6 shine
Peugeot 3008;2023;5 km;Essence;32 374 €;Manuelle;Puretech 130ch S&S BVM6 Allure Pack
Peugeot 3008;2023;5 km;Essence;32 374 €;Manuelle;Puretech 130ch S&S BVM6 Allure Pack
Peugeot 3008;2023;5 km;Essence;32 373 €;Manuelle;Puretech 130ch S&S BVM6 Allure Pack
Peugeot 3008;2023;5 km;Essence;32 373 €;Manuelle;Puretech 130ch S&S BVM6 Allure Pack
Peugeot 5008;2023;5 km;Diesel;38 750 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 3008;2023;5 km;Essence;32 815 €;Manuelle;Puretech 130ch S&S BVM6 Allure Pack
Peugeot 5008;2023;5 km;Diesel;38 650 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 3008;2023;5 km;Essence;32 698 €;Manuelle;Puretech 130ch S&S BVM6 Allure Pack
Peugeot 2008;2023;5 km;Essence;24 800 €;Manuelle;PureTech 100 S&S BVM6 Allure
Peugeot 3008;2023;5 km;Essence;29 428 €;Manuelle;Puretech 130ch S&S BVM6 Allure Pack
Peugeot 3008;2023;5 km;Essence;32 698 €;Manuelle;Puretech 130ch S&S BVM6 Allure Pack
Peugeot 3008;2023;5 km;Essence;32 374 €;Manuelle;Puretech 130ch S&S BVM6 Allure Pack
Peugeot 2008;2023;5 km;Essence;24 800 €;Manuelle;PureTech 100 S&S BVM6 Allure
Peugeot 3008;2023;5 km;Essence;32 698 €;Manuelle;Puretech 130ch S&S BVM6 Allure Pack
Peugeot 2008;2023;5 km;Essence;24 800 €;Manuelle;PureTech 100 S&S BVM6 Allure
Peugeot 2008;2023;5 km;Essence;24 800 €;Manuelle;PureTech 100 S&S BVM6 Allure
Citroën C3;2023;18 346 km;Essence;21 200 €;Automatique;PureTech 110 EAT6 Elle
Citroën C3;2021;22 722 km;Essence;14 342 €;Manuelle;PureTech 83 S&S BVM5 Feel Pack
Citroën C3;2021;19 331 km;Essence;14 443 €;Manuelle;PureTech 83 S&S BVM5 Feel Pack
Citroën C3;2023;14 255 km;Essence;18 104 €;Manuelle;PureTech 83 S&S BVM5 Shine
Citroën C3;2023;13 654 km;Essence;16 716 €;Manuelle;PureTech 83 S&S BVM5 C-Series
Peugeot 3008;2023;24 561 km;Diesel;37 200 €;Automatique;BlueHDi 130ch S&S EAT8 GT
Citroën C5 Aircross;2023;14 624 km;Essence;28 881 €;Manuelle;PureTech 130 S&S BVM6 C-Series
Peugeot 3008;2023;8 957 km;Diesel;35 009 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 508;2023;4 695 km;Hybride rechargeable;46 917 €;Automatique;Hybrid 225 e-EAT8 GT
Peugeot 2008;2023;1 007 km;Electrique;43 050 €;Automatique;Electrique 54 kWh 156 ch GT
Citroën C4;2023;6 855 km;Essence;28 343 €;Automatique;PureTech 130 S&S EAT8 Shine
Citroën C3 Aircross;2023;5 395 km;Diesel;21 650 €;Manuelle;BlueHDi 110 S&S BVM6 Shine
Peugeot 3008;2023;6 192 km;Hybride rechargeable;45 225 €;Automatique;Hybrid 225 e-EAT8 GT
Peugeot 3008;2023;9 644 km;Diesel;35 274 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 3008;2023;6 099 km;Diesel;37 700 €;Automatique;BlueHDi 130ch S&S EAT8 GT
Peugeot 208;2023;4 995 km;Essence;23 115 €;Automatique;PureTech 100 S&S EAT8 Allure Pack
Citroën C4 X;2023;8 149 km;Essence;29 090 €;Automatique;PureTech 130 S&S EAT8 Shine
Peugeot 2008;2023;13 476 km;Essence;21 700 €;Manuelle;PureTech 100 S&S BVM6 Active
Citroën C5 X;2022;9 680 km;Hybride rechargeable;39 350 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine
Citroën C3;2022;28 175 km;Essence;15 700 €;Manuelle;PureTech 83 S&S BVM5 Shine
Peugeot 3008;2023;907 km;Hybride rechargeable;47 550 €;Automatique;Hybrid 225 e-EAT8 GT
Citroën C5 X;2023;6 104 km;Essence;34 114 €;Automatique;PureTech 130 S&S EAT8 Shine
Peugeot 3008;2023;5 121 km;Diesel;33 950 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 208;2023;13 333 km;Essence;21 850 €;Automatique;PureTech 100 S&S EAT8 Allure Pack
Citroën Berlingo;2020;22 345 km;Electrique;17 625 €;Automatique;FOURGON ELECTRIC M CLUB AVEC BATTERIE
DS 3;2022;2 800 km;Electrique;42 872 €;Automatique;E-Tense Opera
Citroën C3;2022;27 594 km;Essence;16 757 €;Manuelle;PureTech 83 S&S BVM5 Shine
Peugeot 308;2023;8 463 km;Essence;27 550 €;Manuelle;PureTech 130ch S&S BVM6 Allure Pack
Peugeot 2008;2023;12 595 km;Essence;27 268 €;Automatique;PureTech 130 S&S EAT8 ALLURE PACK
Peugeot 3008;2023;4 831 km;Diesel;38 990 €;Automatique;BlueHDi 130ch S&S EAT8 GT
Peugeot 208;2023;13 020 km;Essence;22 800 €;Automatique;PureTech 100 S&S EAT8 Allure Pack
Citroën C3 Aircross;2023;7 143 km;Diesel;22 857 €;Manuelle;BlueHDi 110 S&S BVM6 Shine
Peugeot 3008;2023;8 926 km;Diesel;35 120 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Citroën C3 Aircross;2022;26 074 km;Diesel;20 250 €;Manuelle;BlueHDi 110 S&S BVM6 Shine
Peugeot 408;2022;2 699 km;Essence;33 300 €;Automatique;PureTech 130 ch S&S EAT8 Allure Pack
Peugeot 208;2023;2 605 km;Essence;22 250 €;Manuelle;PureTech 100 S&S BVM6 Allure Pack
Peugeot 308;2023;1 025 km;Essence;33 150 €;Automatique;SW PureTech 130ch S&S EAT8 GT
Peugeot 408;2022;9 874 km;Hybride rechargeable;42 700 €;Automatique;PHEV 225 e-EAT8 Allure Pack
DS 3;2023;3 748 km;Essence;33 990 €;Automatique;Crossback PureTech 130 EAT8 Rivoli
Peugeot 2008;2023;12 009 km;Essence;23 800 €;Manuelle;PureTech 100 S&S BVM6 Allure
Peugeot 208;2023;16 166 km;Essence;20 014 €;Manuelle;PureTech 100 S&S BVM6 Allure
Citroën C5 Aircross;2023;22 246 km;Essence;32 302 €;Automatique;PureTech 130 S&S EAT8 Shine
DS 3;2022;3 068 km;Electrique;38 727 €;Automatique;E-Tense Rivoli
Citroën C5 X;2023;3 408 km;Essence;34 405 €;Automatique;PureTech 130 S&S EAT8 Shine
Peugeot Partner;2019;61 892 km;Diesel;18 200 €;Manuelle;FOURGON LONG 950 KG BLUEHDI 100 S&S BVM5 GRIP
Peugeot 5008;2023;12 394 km;Diesel;37 150 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Peugeot 308;2023;4 222 km;Essence;28 900 €;Manuelle;SW PureTech 130ch S&S BVM6 Allure Pack
Peugeot 308;2023;1 535 km;Essence;28 850 €;Manuelle;SW PureTech 130ch S&S BVM6 Allure Pack
Citroën C3;2023;7 966 km;Essence;17 170 €;Manuelle;PureTech 83 S&S BVM5 C-Series
DS 3;2022;2 698 km;Essence;29 550 €;Automatique;Crossback PureTech 130 EAT8 Performance Line+
Peugeot Partner;2019;100 857 km;Diesel;15 631 €;Manuelle;FOURGON LONG 950 KG BLUEHDI 100 S&S BVM5 PREMIUM
Citroën C3;2023;16 520 km;Essence;19 338 €;Manuelle;PureTech 110 S&S BVM6 shine
Citroën C5 X;2022;2 174 km;Essence;29 150 €;Automatique;PureTech 130 S&S EAT8 Feel Business
Peugeot 5008;2023;6 589 km;Diesel;37 350 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
DS 7;2023;1 872 km;Hybride rechargeable;53 900 €;Automatique;CROSSBACK Hybride Rechargeable E-Tense 225 EAT8 Performance
Peugeot 3008;2023;21 993 km;Essence;32 451 €;Manuelle;Puretech 130ch S&S BVM6 GT
Peugeot 3008;2023;10 875 km;Essence;31 153 €;Manuelle;Puretech 130ch S&S BVM6 Allure Pack
Peugeot 308;2023;5 052 km;Diesel;31 250 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
DS 3;2022;2 467 km;Electrique;42 522 €;Automatique;E-Tense Opera
DS 7;2023;4 223 km;Diesel;43 500 €;Automatique;CROSSBACK BLUEHDI 130 EAT8 RIVOLI
DS 3;2022;2 289 km;Electrique;39 156 €;Automatique;E-Tense Rivoli
Peugeot 5008;2023;10 290 km;Diesel;37 950 €;Automatique;BlueHDi 130ch S&S EAT8 Allure Pack
Citroën C3;2023;14 727 km;Essence;18 400 €;Manuelle;PureTech 110 S&S BVM6 shine
Peugeot 208;2020;43 394 km;Diesel;11 300 €;Manuelle;BLUEHDI 100 S&S BVM5 PREMIUM
Citroën C3;2021;19 287 km;Essence;15 605 €;Manuelle;PureTech 83 S&S BVM5 C-Series
Citroën Berlingo;2021;31 439 km;Diesel;24 400 €;Manuelle;Taille M BlueHDi 130 S&S BVM6 Feel Pack
Peugeot Partner;2023;10 km;Electrique;37 372 €;Automatique;E-PARTNER FOURGON M 800 KG 136 CH BATTERIE 50 KWH
Citroën Berlingo;2023;5 km;Diesel;21 292 €;Manuelle;VAN M 650 BLUEHDI 100 S&S BVM6
Citroën C3;2021;7 793 km;Essence;14 749 €;Manuelle;PureTech 83 S&S BVM5 C-Series
Peugeot Expert;2022;11 843 km;Diesel;29 990 €;Automatique;FGN TOLE COMPACT BLUEHDI 145 S&S EAT8 PREMIUM
Citroën Berlingo;2023;7 km;Electrique;35 350 €;Automatique;E-BERLINGO VAN M 800 100 KW (136 CH) BATTERIE 50 K
Citroën C3;2023;4 580 km;Essence;17 150 €;Manuelle;PureTech 83 S&S BVM5 C-Series
Citroën Jumpy;2019;62 087 km;Diesel;20 650 €;Manuelle;FGN M BLUEHDI 120 S&S BVM6 CLUB 340 NM
Citroën C4;2020;12 609 km;Electrique;23 038 €;Automatique;e-C4 136 ch Automatique Shine
Peugeot 508;2023;31 km;Hybride rechargeable;44 202 €;Automatique;Hybrid 180 e-EAT8 Allure
Peugeot 208;2021;15 837 km;Essence;19 000 €;Manuelle;PureTech 100 S&S BVM6 Roadtrip
Peugeot 108;2021;22 305 km;Essence;12 722 €;Manuelle;VTi 72ch S&S BVM5 Collection
Citroën C3;2021;20 214 km;Essence;13 700 €;Manuelle;PureTech 83 S&S BVM5 Feel
Peugeot Partner;2023;7 km;Electrique;37 752 €;Automatique;E-PARTNER FOURGON M 800 KG 136 CH BATTERIE 50 KWH
Peugeot Partner;2023;10 km;Electrique;37 372 €;Automatique;E-PARTNER FOURGON M 800 KG 136 CH BATTERIE 50 KWH
Peugeot Partner;2023;9 km;Electrique;39 265 €;Automatique;E-PARTNER FOURGON M 800 KG 136 CH BATTERIE 50 KWH
Citroën Berlingo;2023;3 km;Electrique;34 885 €;Automatique;e-Berlingo Taille M 136 ch 100 kWh Automatique Fee
Peugeot Partner;2023;9 km;Electrique;37 372 €;Automatique;E-PARTNER FOURGON M 800 KG 136 CH BATTERIE 50 KWH
Peugeot 208;2021;19 382 km;Electrique;21 490 €;Automatique;Electrique 50 kWh 136ch Allure
Citroën Berlingo;2023;7 km;Electrique;35 350 €;Automatique;E-BERLINGO VAN M 800 100 KW (136 CH) BATTERIE 50 K
Citroën Berlingo;2023;13 km;Electrique;35 350 €;Automatique;E-BERLINGO VAN M 800 100 KW (136 CH) BATTERIE 50 K
Peugeot Partner;2020;123 757 km;Diesel;14 207 €;Manuelle;FOURGON STANDARD 650 KG BLUEHDI 100 S&S BVM5 PREMI
DS 7;2023;5 871 km;Diesel;37 100 €;Automatique;CROSSBACK BlueHDi 130 EAT8 Bastille
Citroën C4;2020;9 869 km;Electrique;24 000 €;Automatique;e-C4 136 ch Automatique Shine
DS 4;2023;12 553 km;Diesel;37 450 €;Automatique;BlueHDi 130 EAT8 Rivoli
Citroën C5 X;2023;2 774 km;Hybride rechargeable;47 642 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
Peugeot 308;2019;68 435 km;Diesel;11 700 €;Manuelle;BLUEHDI 100 S&S BVM6 PREMIUM PACK
Citroën C5 Aircross;2023;5 675 km;Essence;33 593 €;Automatique;PureTech 130 S&S EAT8 Shine
Citroën Jumpy;2023;5 km;Diesel;29 900 €;Manuelle;FGN M BLUEHDI 120 S&S BVM6
Citroën C3;2023;15 558 km;Essence;19 653 €;Manuelle;PureTech 110 S&S BVM6 shine
Citroën C5 Aircross;2023;6 216 km;Essence;33 513 €;Automatique;PureTech 130 S&S EAT8 Shine
Citroën C4;2023;4 623 km;Essence;28 400 €;Automatique;PureTech 130 S&S EAT8 Shine
DS 7;2023;16 240 km;Hybride rechargeable;50 837 €;Automatique;CROSSBACK Crossback Hybride E-Tense 225 EAT8 Performance Lin
Peugeot 408;2023;8 537 km;Essence;35 700 €;Automatique;PureTech 130 ch S&S EAT8 GT
Citroën C3;2023;12 050 km;Diesel;19 792 €;Manuelle;BlueHDi 100 S&S BVM6 Shine
Peugeot 408;2023;7 471 km;Essence;33 300 €;Automatique;PureTech 130 ch S&S EAT8 Allure Pack
Citroën C5 X;2023;8 676 km;Hybride rechargeable;48 903 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
Citroën C5 Aircross;2023;9 494 km;Hybride rechargeable;43 285 €;Automatique;Hybride Rechargeable 225 e-EAT8 Feel Pack
Citroën C5 Aircross;2023;7 961 km;Diesel;33 427 €;Automatique;BlueHDi 130 S&S EAT8 SHINE
Peugeot 208;2020;33 960 km;Diesel;11 300 €;Manuelle;BLUEHDI 100 S&S BVM5 PREMIUM PACK
Citroën C5 X;2023;16 km;Hybride rechargeable;49 021 €;Automatique;Hybride Rechargeable 225 S&S e-EAT8 Shine Pack
Peugeot 408;2023;14 401 km;Essence;35 000 €;Automatique;PureTech 130 ch S&S EAT8 GT
Citroën Jumpy;2023;5 km;Diesel;30 750 €;Manuelle;FGN M BLUEHDI 120 S&S BVM6
Peugeot 508;2023;4 845 km;Hybride rechargeable;48 200 €;Automatique;Hybrid 225 e-EAT8 Allure
Peugeot 208;2019;71 588 km;Diesel;9 537 €;Manuelle;BLUEHDI 100 S&S BVM5 PREMIUM PACK
